product,brand,type,pet_type,concerns,usp,key_ingredients,coat_type,suitable_for,avoid_if,usage_notes,size_ml
Natural Derma Pet Deodorant Shampoo,Derbe,shampoo,dog,foul odour; unpleasant smell; coat odour,Helps neutralise unpleasant coat odours and leaves the coat fresher smelling.,bergamot essential oil; lemon essential oil; eucalyptus essential oil,all coat types,"Dogs with stronger coat odour, or owners looking mainly for odour control and a fresher finish.","Avoid on open wounds, broken skin, severe redness, swelling, or suspected infection without vet advice.","Best for odour focused cases. If odour seems linked to skin flare ups, yeast, or infection signs, recommend a vet check first.",200
Natural Derma Pet Volumizing Shampoo,Derbe,shampoo,dog,flat coat; lack of volume; dull coat; coat body,"Helps the coat look fuller, lighter, and more lifted after bathing.",silk proteins; rosa canina; vitamin E; capelvenere,fine coat; fluffy coat; coats needing volume,Dogs whose coat looks flat or needs more body and fullness.,"Avoid on open wounds, broken skin, severe irritation, or severe skin conditions without vet advice.","Recommend when owner wants a fluffier finish. Not the first choice for itch, redness, or sensitive skin concerns.",200
Natural Derma Pet Mint & Eucalyptus Refreshing Shampoo,Derbe,shampoo,dog,refreshing bath; light odour; dull coat; normal coat maintenance,"Refreshing shampoo for a clean, bright, fresh coat feel.",mint extract; eucalyptus extract,all coat types,"Dogs that need a fresh, clean feeling bath with a refreshing profile.",Use caution for very sensitive skin if fragrance or essential oils are a concern. Avoid on open wounds or broken skin.,"Good general shampoo when the customer wants freshness, not specifically skin relief.",200
Natural Derma Pet Blackcurrant & Peach Gentle Shampoo,Derbe,shampoo,dog,gentle cleansing; normal coat maintenance; coat shine; fragrance,Gentle fruit shampoo with a soft fruity profile and shine focused finish.,blackcurrant extract; peach extract,all coat types,Dogs that need a gentle everyday shampoo with a fruity profile and softer coat finish.,Use caution for very sensitive skin if fragrance is a concern. Avoid on open wounds or severe skin flare ups.,Recommend when there is no major skin concern and owner wants a gentle fruity shampoo.,200
Natural Derma Pet Grape & Apple Gentle Shampoo,Derbe,shampoo,dog,gentle cleansing; normal coat maintenance; coat brightness; fragrance,"Gentle fruit shampoo that supports shine, brightness, and a fresh fruity finish.",grape extract; apple extract,all coat types,Dogs that need a gentle everyday shampoo with a fruity profile and brighter coat appearance.,Use caution for very sensitive skin if fragrance is a concern. Avoid on open wounds or severe skin flare ups.,Recommend for normal bath maintenance and fruity scent preference.,200
Natural Derma Pet Soothing Shampoo for Dogs Itch Relief,Derbe,shampoo,dog,itchiness; sensitive skin; skin discomfort; mild irritation,Soothing shampoo positioned for itch relief and sensitive skin comfort.,plant extracts,all coat types; sensitive skin,"Dogs with itchiness, mild skin discomfort, or sensitive skin that need a gentler soothing option.","For severe skin issues, open wounds, bleeding, swelling, infection, strong redness, or constant scratching, recommend vet advice first.","Best first recommendation from this list for itch or sensitivity. Phrase safely as may help soothe, not a medical treatment.",200
Natural Derma Pet Active Sanitizing Shampoo,Derbe,shampoo,dog,hygiene; deep cleansing; coat freshness; redness support; itch support,Hygiene focused shampoo with silver ions and black clay for purifying care.,silver ions; black clay,all coat types,"Dogs that need a more hygiene focused cleanse, especially when coat cleanliness and freshness are the main concern.","Avoid making medical claims. For suspected infection, open wounds, strong redness, or persistent skin problems, recommend vet assessment.",Recommend when customer asks for a stronger hygiene focused shampoo. Do not say it treats infection.,200
Natural Derma Pet Fig & Blackberry Gentle Shampoo,Derbe,shampoo,dog,gentle cleansing; normal coat maintenance; coat softness; coat shine; fragrance,"Gentle fruit shampoo that supports softness, brightness, elasticity, and a smooth coat feel.",fig extract; wild blackberry extract,all coat types,Dogs that need a gentle everyday shampoo with a fruity profile and soft coat finish.,Use caution for very sensitive skin if fragrance is a concern. Avoid on open wounds or severe skin flare ups.,Recommend for normal bath maintenance when the owner prefers a gentle fruity shampoo.,200
Natural Derma Pet Orange & Mandarin Gentle Shampoo,Derbe,shampoo,dog,gentle cleansing; normal coat maintenance; coat elasticity; coat volume; fragrance,"Gentle citrus fruit shampoo that supports coat elasticity, volume, and brightness.",orange extract; mandarin extract,all coat types; coats needing volume and elasticity,Dogs that need a gentle everyday shampoo with a fresh citrus profile.,Use caution for very sensitive skin if fragrance is a concern. Avoid on open wounds or severe skin flare ups.,Recommend when owner prefers a fresh citrus profile and there is no major skin concern.,200
Natural Derma Pet Shampoo di Pool,Derbe,shampoo,dog,outdoor exposure; insect repellent support; dandruff support; itch support; sebum balance,Natural insect repellent support shampoo with neem oil and peppermint essential oil.,neem oil; peppermint essential oil,all coat types,Dogs that spend time outdoors or need grooming support against unwanted insects.,"Do not present as a replacement for vet recommended flea, tick, or parasite prevention. Avoid on open wounds or severe skin issues without vet advice.","Recommend for outdoor and insect repellent support. It supports grooming care, but parasite prevention should follow vet advice.",200
